date,pm25,pm25_count,scope,source
2019-12-12,69.3236,8,citywide,MERRA-2_GEE
2019-12-13,52.8496,8,citywide,MERRA-2_GEE
2019-12-14,41.2597,8,citywide,MERRA-2_GEE
2019-12-15,65.0671,8,citywide,MERRA-2_GEE
2019-12-16,70.9785,8,citywide,MERRA-2_GEE
2019-12-17,53.0974,8,citywide,MERRA-2_GEE
2019-12-18,49.3183,8,citywide,MERRA-2_GEE
2019-12-19,45.2812,8,citywide,MERRA-2_GEE
2019-12-20,42.2334,8,citywide,MERRA-2_GEE
2019-12-21,62.4561,8,citywide,MERRA-2_GEE
2019-12-22,62.7806,8,citywide,MERRA-2_GEE
2019-12-23,52.7267,8,citywide,MERRA-2_GEE
2019-12-24,40.6878,8,citywide,MERRA-2_GEE
2019-12-25,54.8414,8,citywide,MERRA-2_GEE
2019-12-26,51.3455,8,citywide,MERRA-2_GEE
2019-12-27,33.6452,8,citywide,MERRA-2_GEE
2019-12-28,76.9565,8,citywide,MERRA-2_GEE
2019-12-29,93.9862,8,citywide,MERRA-2_GEE
2019-12-30,95.5653,8,citywide,MERRA-2_GEE
2019-12-31,130.747,8,citywide,MERRA-2_GEE
2020-01-01,116.7331,8,citywide,MERRA-2_GEE
2020-01-02,117.0637,8,citywide,MERRA-2_GEE
2020-01-03,80.041,8,citywide,MERRA-2_GEE
2020-01-04,49.9179,8,citywide,MERRA-2_GEE
2020-01-05,52.8561,8,citywide,MERRA-2_GEE
2020-01-06,77.1584,8,citywide,MERRA-2_GEE
2020-01-07,98.0635,8,citywide,MERRA-2_GEE
2020-01-08,32.7598,8,citywide,MERRA-2_GEE
2020-01-09,37.7199,8,citywide,MERRA-2_GEE
2020-01-10,64.788,8,citywide,MERRA-2_GEE
2020-01-11,80.6703,8,citywide,MERRA-2_GEE
2020-01-12,123.0274,8,citywide,MERRA-2_GEE
2020-01-13,36.886,8,citywide,MERRA-2_GEE
2020-01-14,30.6505,8,citywide,MERRA-2_GEE
2020-01-15,43.9384,8,citywide,MERRA-2_GEE
2020-01-16,29.4949,8,citywide,MERRA-2_GEE
2020-01-17,19.8509,8,citywide,MERRA-2_GEE
2020-01-18,47.3511,8,citywide,MERRA-2_GEE
2020-01-19,49.5884,8,citywide,MERRA-2_GEE
2020-01-20,48.6458,8,citywide,MERRA-2_GEE
2020-01-21,41.6826,8,citywide,MERRA-2_GEE
2020-01-22,93.6847,8,citywide,MERRA-2_GEE
2020-01-23,71.4992,8,citywide,MERRA-2_GEE
2020-01-24,51.8185,8,citywide,MERRA-2_GEE
2020-01-25,33.2075,8,citywide,MERRA-2_GEE
2020-01-26,42.6881,8,citywide,MERRA-2_GEE
2020-01-27,47.6742,8,citywide,MERRA-2_GEE
2020-01-28,37.6135,8,citywide,MERRA-2_GEE
2020-01-29,29.9222,8,citywide,MERRA-2_GEE
2020-01-30,43.5405,8,citywide,MERRA-2_GEE
2020-01-31,30.139,8,citywide,MERRA-2_GEE
2020-02-01,49.0147,8,citywide,MERRA-2_GEE
2020-02-02,60.3208,8,citywide,MERRA-2_GEE
2020-02-03,34.4384,8,citywide,MERRA-2_GEE
2020-02-04,43.2659,8,citywide,MERRA-2_GEE
2020-02-05,76.8341,8,citywide,MERRA-2_GEE
2020-02-06,39.0829,8,citywide,MERRA-2_GEE
2020-02-07,60.4905,8,citywide,MERRA-2_GEE
2020-02-08,49.6467,8,citywide,MERRA-2_GEE
2020-02-09,41.4512,8,citywide,MERRA-2_GEE
2020-02-10,51.5742,8,citywide,MERRA-2_GEE
2020-02-11,54.383,8,citywide,MERRA-2_GEE
2020-02-12,68.7162,8,citywide,MERRA-2_GEE
2020-02-13,53.2433,8,citywide,MERRA-2_GEE
2020-02-14,51.6409,8,citywide,MERRA-2_GEE
2020-02-15,45.5497,8,citywide,MERRA-2_GEE
2020-02-16,37.6724,8,citywide,MERRA-2_GEE
2020-02-17,34.5309,8,citywide,MERRA-2_GEE
2020-02-18,37.2392,8,citywide,MERRA-2_GEE
2020-02-19,47.4836,8,citywide,MERRA-2_GEE
2020-02-20,64.3798,8,citywide,MERRA-2_GEE
2020-02-21,76.6728,8,citywide,MERRA-2_GEE
2020-02-22,66.7005,8,citywide,MERRA-2_GEE
2020-02-23,63.4163,8,citywide,MERRA-2_GEE
2020-02-24,53.1925,8,citywide,MERRA-2_GEE
2020-02-25,50.3812,8,citywide,MERRA-2_GEE
2020-02-26,50.7373,8,citywide,MERRA-2_GEE
2020-02-27,49.1696,8,citywide,MERRA-2_GEE
2020-02-28,112.4255,8,citywide,MERRA-2_GEE
2020-02-29,165.1994,8,citywide,MERRA-2_GEE
2020-03-01,97.2748,8,citywide,MERRA-2_GEE
2020-03-02,71.6469,8,citywide,MERRA-2_GEE
2020-03-03,66.1427,8,citywide,MERRA-2_GEE
2020-03-04,59.5565,8,citywide,MERRA-2_GEE
2020-03-05,78.4886,8,citywide,MERRA-2_GEE
2020-03-06,74.1692,8,citywide,MERRA-2_GEE
2020-03-07,51.8766,8,citywide,MERRA-2_GEE
2020-03-08,39.641,8,citywide,MERRA-2_GEE
2020-03-09,43.9677,8,citywide,MERRA-2_GEE
2020-03-10,64.9411,8,citywide,MERRA-2_GEE
2020-03-11,57.1596,8,citywide,MERRA-2_GEE
2020-03-12,80.8432,8,citywide,MERRA-2_GEE
2020-03-13,67.5293,8,citywide,MERRA-2_GEE
2020-03-14,69.7064,8,citywide,MERRA-2_GEE
2020-03-15,52.3034,8,citywide,MERRA-2_GEE
2020-03-16,63.1369,8,citywide,MERRA-2_GEE
2020-03-17,51.5095,8,citywide,MERRA-2_GEE
2020-03-18,45.4792,8,citywide,MERRA-2_GEE
2020-03-19,40.9169,8,citywide,MERRA-2_GEE
2020-03-20,55.2076,8,citywide,MERRA-2_GEE
2020-03-21,54.1999,8,citywide,MERRA-2_GEE
2020-03-22,43.0752,8,citywide,MERRA-2_GEE
2020-03-23,33.252,8,citywide,MERRA-2_GEE
2020-03-24,65.7102,8,citywide,MERRA-2_GEE
2020-03-25,53.0558,8,citywide,MERRA-2_GEE
2020-03-26,39.5433,8,citywide,MERRA-2_GEE
2020-03-27,39.9225,8,citywide,MERRA-2_GEE
2020-03-28,44.8194,8,citywide,MERRA-2_GEE
2020-03-29,38.264,8,citywide,MERRA-2_GEE
